timestamp,pm25,completitud_observada,estacion,fuera_rango_valido,hora,dia_semana,mes,evaluable,particion
2024-01-05 04:00:00-03:00,3.4166666666666665,1.0,Curva de Maroñas,False,4,4,1,True,entrenamiento
2024-01-05 05:00:00-03:00,3.0,1.0,Curva de Maroñas,False,5,4,1,True,entrenamiento
2024-01-05 06:00:00-03:00,4.25,1.0,Curva de Maroñas,False,6,4,1,True,entrenamiento
2024-01-05 07:00:00-03:00,5.466666666666667,1.0,Curva de Maroñas,False,7,4,1,True,entrenamiento
2024-01-05 08:00:00-03:00,4.216666666666667,1.0,Curva de Maroñas,False,8,4,1,True,entrenamiento
2024-01-05 09:00:00-03:00,3.7,0.6333333333333333,Curva de Maroñas,False,9,4,1,False,entrenamiento
2024-01-05 10:00:00-03:00,5.133333333333334,1.0,Curva de Maroñas,False,10,4,1,True,entrenamiento
2024-01-05 11:00:00-03:00,6.2,1.0,Curva de Maroñas,False,11,4,1,True,entrenamiento
2024-01-05 12:00:00-03:00,3.95,1.0,Curva de Maroñas,False,12,4,1,True,entrenamiento
2024-01-05 13:00:00-03:00,3.6,1.0,Curva de Maroñas,False,13,4,1,True,entrenamiento
2024-01-05 14:00:00-03:00,3.283333333333333,1.0,Curva de Maroñas,False,14,4,1,True,entrenamiento
2024-01-05 15:00:00-03:00,3.55,1.0,Curva de Maroñas,False,15,4,1,True,entrenamiento
2024-01-05 16:00:00-03:00,4.316666666666666,1.0,Curva de Maroñas,False,16,4,1,True,entrenamiento
2024-01-05 17:00:00-03:00,5.65,1.0,Curva de Maroñas,False,17,4,1,True,entrenamiento
2024-01-05 18:00:00-03:00,7.25,1.0,Curva de Maroñas,False,18,4,1,True,entrenamiento
2024-01-05 19:00:00-03:00,14.916666666666666,1.0,Curva de Maroñas,False,19,4,1,True,entrenamiento
2024-01-05 20:00:00-03:00,16.65,1.0,Curva de Maroñas,False,20,4,1,True,entrenamiento
2024-01-05 21:00:00-03:00,17.2,1.0,Curva de Maroñas,False,21,4,1,True,entrenamiento
2024-01-05 22:00:00-03:00,22.916666666666668,1.0,Curva de Maroñas,False,22,4,1,True,entrenamiento
2024-01-05 23:00:00-03:00,8.216666666666667,1.0,Curva de Maroñas,False,23,4,1,True,entrenamiento
2024-01-06 00:00:00-03:00,7.5,1.0,Curva de Maroñas,False,0,5,1,True,entrenamiento
2024-01-06 01:00:00-03:00,6.1,1.0,Curva de Maroñas,False,1,5,1,True,entrenamiento
2024-01-06 02:00:00-03:00,5.033333333333333,1.0,Curva de Maroñas,False,2,5,1,True,entrenamiento
2024-01-06 03:00:00-03:00,9.45,1.0,Curva de Maroñas,False,3,5,1,True,entrenamiento
2024-01-06 04:00:00-03:00,9.05,1.0,Curva de Maroñas,False,4,5,1,True,entrenamiento
2024-01-06 05:00:00-03:00,9.783333333333333,1.0,Curva de Maroñas,False,5,5,1,True,entrenamiento
2024-01-06 06:00:00-03:00,8.316666666666666,1.0,Curva de Maroñas,False,6,5,1,True,entrenamiento
2024-01-06 07:00:00-03:00,6.35,1.0,Curva de Maroñas,False,7,5,1,True,entrenamiento
2024-01-06 08:00:00-03:00,6.55,1.0,Curva de Maroñas,False,8,5,1,True,entrenamiento
2024-01-06 09:00:00-03:00,6.383333333333334,0.9666666666666667,Curva de Maroñas,False,9,5,1,True,entrenamiento
2024-01-06 10:00:00-03:00,6.15,1.0,Curva de Maroñas,False,10,5,1,True,entrenamiento
2024-01-06 11:00:00-03:00,6.183333333333334,1.0,Curva de Maroñas,False,11,5,1,True,entrenamiento
2024-01-06 12:00:00-03:00,6.55,1.0,Curva de Maroñas,False,12,5,1,True,entrenamiento
2024-01-06 13:00:00-03:00,7.2,1.0,Curva de Maroñas,False,13,5,1,True,entrenamiento
2024-01-06 14:00:00-03:00,7.15,1.0,Curva de Maroñas,False,14,5,1,True,entrenamiento
2024-01-06 15:00:00-03:00,19.083333333333332,1.0,Curva de Maroñas,False,15,5,1,True,entrenamiento
2024-01-06 16:00:00-03:00,16.933333333333334,1.0,Curva de Maroñas,False,16,5,1,True,entrenamiento
2024-01-06 17:00:00-03:00,12.95,1.0,Curva de Maroñas,False,17,5,1,True,entrenamiento
2024-01-06 18:00:00-03:00,11.15,1.0,Curva de Maroñas,False,18,5,1,True,entrenamiento
2024-01-06 19:00:00-03:00,17.05,1.0,Curva de Maroñas,False,19,5,1,True,entrenamiento
2024-01-06 20:00:00-03:00,23.55,1.0,Curva de Maroñas,False,20,5,1,True,entrenamiento
2024-01-06 21:00:00-03:00,49.55,1.0,Curva de Maroñas,False,21,5,1,True,entrenamiento
2024-01-06 22:00:00-03:00,63.3,1.0,Curva de Maroñas,False,22,5,1,True,entrenamiento
2024-01-06 23:00:00-03:00,59.06666666666667,1.0,Curva de Maroñas,False,23,5,1,True,entrenamiento
2024-01-07 00:00:00-03:00,32.28333333333333,1.0,Curva de Maroñas,False,0,6,1,True,entrenamiento
2024-01-07 01:00:00-03:00,18.016666666666666,1.0,Curva de Maroñas,False,1,6,1,True,entrenamiento
2024-01-07 02:00:00-03:00,3.0,1.0,Curva de Maroñas,False,2,6,1,True,entrenamiento
2024-01-07 03:00:00-03:00,3.6,1.0,Curva de Maroñas,False,3,6,1,True,entrenamiento
2024-01-07 04:00:00-03:00,3.0,1.0,Curva de Maroñas,False,4,6,1,True,entrenamiento
2024-01-07 05:00:00-03:00,6.65,1.0,Curva de Maroñas,False,5,6,1,True,entrenamiento
2024-01-07 06:00:00-03:00,7.2,1.0,Curva de Maroñas,False,6,6,1,True,entrenamiento
2024-01-07 07:00:00-03:00,3.316666666666667,1.0,Curva de Maroñas,False,7,6,1,True,entrenamiento
2024-01-07 08:00:00-03:00,3.283333333333333,1.0,Curva de Maroñas,False,8,6,1,True,entrenamiento
2024-01-07 09:00:00-03:00,10.483333333333333,0.9666666666666667,Curva de Maroñas,False,9,6,1,True,entrenamiento
