validacion,horizonte,modelo,MAE,RMSE,n
espacial (Museo Romántico),19,SGD,7.274701549729299,12.338995040447394,3384
espacial (Museo Romántico),19,persistencia,6.217971087910958,15.38746804452812,3384
espacial (Museo Romántico),20,SGD,6.637897770491434,12.310633031803759,3383
espacial (Museo Romántico),20,persistencia,6.219809092962071,15.389742110607859,3383
espacial (Museo Romántico),21,SGD,7.013009757827116,12.267137090719114,3382
espacial (Museo Romántico),21,persistencia,6.217636751869904,15.390249226526787,3382
espacial (Museo Romántico),22,SGD,6.275109198029962,12.182476578050844,3381
espacial (Museo Romántico),22,persistencia,6.217469435519279,15.392082962205022,3381
espacial (Museo Romántico),23,SGD,7.1625056578378326,12.366563548927877,3380
espacial (Museo Romántico),23,persistencia,6.215763558626435,15.392979769418103,3380
espacial (Museo Romántico),24,SGD,7.153306056054185,12.291724721025988,3379
espacial (Museo Romántico),24,persistencia,6.211407959403378,15.39104492872888,3379
